source_id,ra,e_ra,dec,e_dec,parallax,e_parallax,pmra,e_pmra,pmdec,e_pmdec,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP_RP,BP_G,G_RP,rv,e_rv,rv_flag,rv_gaia,e_rv_gaia,rv_bh18,e_rv_bh18,U,e_U,V,e_V,B,e_B,I,e_I,CUBI,e_CUBI,chi,sharp,vary,RAJ2000,DEJ2000,Cluster,_2MASS,Jmag,e_Jmag,Kmag,e_Kmag,dCUBI,X,Y,pm_X,pm_Y,r,theta,pm_r,pm_t
4689642462299919488,5.9252921066,0.0271,-71.98364157365,0.0284,0.1279,0.0317,5.339,0.035,-2.307,0.038,0.985,15.916981,0.002784,16.335508,0.005784,15.297916,0.004675,1.037592,0.418528,0.619064,,,,,,,,17.333,0.0049,16.143,0.0011,16.971,0.0011,15.225,0.0012,-1.3840008,0.0052792043,1.221,0.028,0.244,b'00 23 42.07',b'-71 59 01.1\r',b'NGC104',,,,,,0.7470966318628148,-0.03001243502726713,0.09777863682253037,0.09314890766196356,-0.05224076994905485,0.10228102500042822,107.06348387429158,-0.0772739304402795,-0.07371944599492002
4689642462299898752,5.92568678024,0.0315,-71.97925984004,0.033,0.1468,0.0366,5.345,0.039,-2.836,0.045,1.068,16.18515,0.0028,16.621973,0.004065,15.598689,0.004592,1.023284,0.436823,0.586461,,,,,,,,17.507,0.0037,16.41,0.0012,17.197,0.0014,15.506,0.0013,-1.3810015,0.0043931766,1.182,-0.012,0.343,b'00 23 42.16',b'-71 58 45.3\r',b'NGC104',,,,,,0.7786421974599476,-0.029897395495142573,0.10216055442709547,0.09998057428962753,0.05319344435658303,0.10644544677084364,106.312171134591,0.022970573849445633,-0.11089639531936007
4689638785800876288,5.90580858814,0.054,-72.07441665609,0.0645,0.0203,0.068,5.49,0.062,-3.824,0.084,2.012,15.485811,0.003217,15.629445,0.010752,14.589196,0.006423,1.040249,0.143634,0.896615,,,,,,,,16.853,0.0041,15.695,0.0009,16.544,0.0015,14.753,0.0011,-1.4820004,0.004745524,1.791,0.025,0.542,b'00 23 37.39',b'-72 04 27.9\r',b'NGC104',,,,,,0.17827279356407338,-0.03586285322773677,0.006993086132997501,0.2479148105689332,0.24533790946743078,0.03653830175716588,168.96605302513063,-0.19637648677564273,-0.28825113800804864
4689638029894272896,5.90666310435,0.0291,-72.08565837588,0.0395,0.1207,0.0388,5.063,0.034,-3.041,0.046,1.98,14.161452,0.002835,14.536418,0.006789,13.400251,0.004298,1.136167,0.374966,0.761201,,,,,,,,15.963,0.0034,14.392,0.0007,15.347,0.0011,13.374,0.0007,-1.3570004,0.0038039454,1.888,0.018,0.592,b'00 23 37.60',b'-72 05 08.4\r',b'NGC104',,,,,,0.8180210770143277,-0.03557825621028719,-0.004248105843809176,-0.18064617945386274,0.0909234817896573,0.03583097428517741,-173.1910199231203,0.16859221950288691,-0.11169953095300679
4689638781529037312,5.9081424405,0.027,-72.07349058902,0.0352,0.1446,0.0351,4.777,0.031,-2.573,0.041,1.154,15.108992,0.002993,15.319848,0.021794,14.264661,0.016237,1.055187,0.210856,0.844331,,,,,,,,16.721,0.0054,15.341,0.0015,16.214,0.0018,14.388,0.0012,-1.3190012,0.006089335,1.545,-0.029,0.946,b'00 23 37.95',b'-72 04 24.6\r',b'NGC104',,,,,,1.0018822940601395,-0.035146294128620616,0.007920527569119894,-0.46761421409481696,-0.0009017009708654004,0.0360277219367073,167.3000494770618,0.4559756730875547,0.10368245676345487
4689638850248510848,5.90854147217,0.0591,-72.06055565336,0.0674,0.2323,0.0729,4.742,0.067,-2.973,0.098,1.17,16.366705,0.00384,16.308868,0.022946,15.33843,0.010559,0.970438,-0.057837,1.028275,,,,,,,,17.623,0.0253,16.554,0.0024,17.344,0.0034,15.672,0.0022,-1.3930006,0.025846664,1.308,0.108,0.988,b'00 23 38.05',b'-72 03 38.0\r',b'NGC104',,,,,,,-0.035047914041889304,0.020855672193872833,-0.5018771626275869,0.07868947668500423,0.04078376320726107,149.24474260889795,0.471532494156522,0.18902335057501907
4689638781528036608,5.91124852865,0.0447,-72.07051361474,0.0676,0.1769,0.0573,5.495,0.049,-2.956,0.079,1.343,15.851764,0.003673,15.741292,0.021879,14.793086,0.016277,0.948206,-0.110472,1.058678,,,,,,,,17.259,0.0097,16.098,0.002,16.922,0.002,15.165,0.0026,-1.420001,0.010433121,1.565,0.006,0.767,b'00 23 38.69',b'-72 04 13.9\r',b'NGC104',,,,,,0.5625287195155207,-0.03419574306334905,0.010899284999875634,0.250944655676508,0.07391412601741709,0.03589071268675364,162.321243943052,-0.21664735140586108,-0.14663029484504594
4689638059950640512,5.94017144503,0.0817,-72.08149833014,0.1294,0.0725,0.1176,5.982,0.088,-3.452,0.154,3.523,14.781805,0.005488,14.68087,0.011325,13.691368,0.006003,0.989502,-0.100935,1.090437,,,,,,,,16.06,0.0098,14.858,0.0025,15.69,0.0024,13.92,0.0021,-1.3999996,0.010581588,1.785,0.109,1.378,b'00 23 45.65',b'-72 04 53.4\r',b'NGC104',,,,,,0.5342230653952853,-0.025276956261313505,-7.113370482010016e-05,0.7370750469876968,0.17405358182150027,0.025277056352358704,-179.83876024209226,-0.7375619431408236,-0.17197864479970126
4689642118702687744,5.93964508632,0.0418,-72.01403566956,0.0401,0.2148,0.049,4.661,0.052,-3.163,0.058,1.093,16.224157,0.0029,16.54983,0.010666,15.523811,0.009062,1.026018,0.325672,0.700346,,,,,,,,17.526,0.0105,16.422,0.0015,17.22,0.0017,15.514,0.0022,-1.3999996,0.010994089,1.156,0.135,0.662,b'00 23 45.51',b'-72 00 50.6\r',b'NGC104',,,,,,0.6938780097414026,-0.02553151373573209,0.06739122608235437,-0.5842882278014402,0.11994882047300455,0.07206549483990848,110.74945142258419,0.3191716235855132,0.503894758236281
4689638059973533184,5.94066666437,0.1017,-72.07855926472,0.1705,0.1764,0.1515,3.801,0.096,-2.125,0.245,2.289,15.625169,0.004,15.567146,0.023909,14.563977,0.020407,1.003169,-0.058022,1.061192,,,,,,,,17.08,0.0119,15.832,0.0029,16.652,0.0031,14.914,0.0035,-1.3100014,0.0131559875,1.618,0.017,1.367,b'00 23 45.76',b'-72 04 42.8\r',b'NGC104',,,,,,1.0135614317440145,-0.02512858107952944,0.0028681362616812898,-1.4457528866860907,-0.0856186572223256,0.025291733682886508,173.48852954992492,1.426717247264685,0.24901779089695178
4689637995534511488,5.94124955942,0.0581,-72.08704585219,0.0593,0.0141,0.0677,5.797,0.068,-1.953,0.08,2.778,14.461792,0.003274,14.447909,0.011213,13.397542,0.008108,1.050367,-0.013883,1.06425,,,,,,,,16.095,0.0084,14.653,0.0022,15.564,0.0022,13.66,0.002,-1.3730011,0.009178235,2.017,0.216,1.352,b'00 23 45.90',b'-72 05 13.4\r',b'NGC104',,,,,,0.7131014111249994,-0.02493779006767476,-0.005618201129274502,0.5499903344552418,-0.12253272668896532,0.02556281591273542,-167.30387581380307,-0.509612479349268,0.2404137225607417
