source_id,ra,e_ra,dec,e_dec,parallax,e_parallax,pmra,e_pmra,pmdec,e_pmdec,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP_RP,BP_G,G_RP,rv,e_rv,rv_flag,rv_gaia,e_rv_gaia,rv_bh18,e_rv_bh18,U,e_U,V,e_V,B,e_B,I,e_I,CUBI,e_CUBI,chi,sharp,vary,RAJ2000,DEJ2000,Cluster,_2MASS,Jmag,e_Jmag,Kmag,e_Kmag,dCUBI,X,Y,pm_X,pm_Y,r,theta,pm_r,pm_t
4421477932822963840,229.59789830795,0.0598,2.0049784669,0.0569,0.1533,0.0756,3.929,0.08,-9.702,0.077,1.067,16.761381,0.003054,17.042349,0.011731,16.08181,0.010174,0.960539,0.280968,0.679571,,,,,,,,17.615,0.0222,16.949,0.0009,17.65,0.001,16.08,0.0023,-1.6050000000000004,0.022363586474445463,1.001,0.071,0.426,229.59788083722,2.0050215853,,,,,,,-0.09768573422156432,-0.04007713815337399,-0.07602100150959047,-0.1572969948194938,0.16657211318418627,0.08593817354985957,-117.79752948349358,-0.07399465467636394,-0.21682574697026843
4421572834419569664,229.5983234165,0.0331,2.07340877377,0.0313,0.104,0.0364,4.047,0.045,-9.882,0.042,1.635,14.725776,0.002821,15.129153,0.004586,14.040942,0.004265,1.088211,0.403378,0.684834,53.03,1.68,B&H+18,,,53.03,1.68,16.051,0.0094,14.938,0.0014,15.768,0.0018,13.98,0.0021,-1.5050000000000026,0.009962429422585638,1.429,0.254,2.009,229.59830541964,2.07345269374,b'NGC 5904',b'15182359+0204243',13.23,0.03,12.68,0.03,0.959765840142159,-0.03965060378065665,-0.007590727684535143,-0.039295748156194625,-0.017541609238317497,0.04037065180240953,-169.16240031260293,0.04189314870515401,0.009840120395236619
4421573246740329984,229.59838335447,0.054,2.1047215867,0.0576,0.1419,0.0663,4.099,0.072,-9.921,0.075,0.967,16.69156,0.002873,17.027344,0.01348,16.065638,0.010287,0.961706,0.335783,0.625923,,,,,,,,17.658,0.0054,16.897,0.0011,17.606,0.0021,16.036,0.0021,-1.5180000000000007,0.006510760324263212,1.174,0.088,0.668,229.59836512658,2.10476567867,,,,,,,0.6743209853232912,-0.03958991582472679,0.02372208303058719,0.012701497065408872,-0.05690566579731109,0.046152991867472966,149.07016591886958,-0.040144139169620785,0.04228511461339522
4421573139365220224,229.59861496723,0.0238,2.09765786571,0.0255,0.0927,0.0257,4.347,0.033,-9.945,0.037,0.996,14.875699,0.002779,15.308902,0.005586,14.219565,0.005718,1.089336,0.433203,0.656134,,,,,,,,16.239,0.0033,15.12,0.0006,15.949,0.0005,14.15,0.0013,-1.5089999999999986,0.003616628264005025,1.317,0.109,0.671,229.59859563471,2.09770206787,,,,,,,0.9010211614173379,-0.03935863740011401,0.01665835669145222,0.260709267309776,-0.08213158322932662,0.0427387784763826,157.05971939284038,-0.2721027400066909,-0.025981106708668992
4421573070645743744,229.59873025263,0.0834,2.09137060027,0.0844,0.0941,0.1008,4.095,0.119,-9.917,0.123,1.102,17.25758,0.003062,17.524101,0.021566,16.590172,0.013178,0.933929,0.266521,0.667408,,,,,,,,18.147,0.0042,17.436,0.0013,18.122,0.0016,16.601,0.0028,-1.4960000000000022,0.005531726674375732,1.079,0.137,0.547,229.59871203828,2.09141467743,,,,,,,0.91794172807121,-0.03924358677402868,0.01037108855995303,0.008714551284380779,-0.05317851394669405,0.04059086819481824,165.19660775384295,-0.022012569991475207,0.04918683270995645
4421478134688349056,229.59888822401,0.0206,2.03452578728,0.0197,0.1245,0.0257,4.017,0.027,-9.808,0.026,1.013,14.724214,0.002778,15.190841,0.003448,14.074841,0.004041,1.115999,0.466627,0.649372,,,,,,,,16.128,0.0038,14.977,0.0004,15.833,0.0006,13.986,0.0007,-1.5519999999999996,0.003956008088970496,1.276,0.135,0.339,229.59887036036,2.0345693806,,,,,,,0.6149607276569129,-0.03908711749829135,-0.04647372318105406,-0.06927093901565373,0.057832908864401344,0.06072569226146768,-130.0657969170066,0.0003275505714594757,-0.09023857850416143
4421478031604943744,229.59935597838,0.0442,2.02605800024,0.0394,0.0713,0.0545,3.878,0.059,-9.699,0.05,0.96,16.159634,0.002841,16.538801,0.008234,15.546527,0.005906,0.992274,0.379168,0.613107,,,,,,,,17.184,0.005,16.344,0.0013,17.052,0.0016,15.466,0.0024,-1.4539999999999988,0.005989991652748775,1.318,0.291,0.843,229.59933873422,2.02610110686,,,,,,,1.3545831323903315,-0.03861986043764481,-0.054941518412630445,-0.2082521258297134,0.17049821265084128,0.06715701054773487,-125.10440765574597,-0.019726349393541957,-0.2684203039438898
4421573143661117056,229.58932873245,0.0434,2.10007870872,0.0439,0.0749,0.0502,4.249,0.059,-9.68,0.062,0.992,16.323637,0.002833,16.74885,0.005965,15.757827,0.007588,0.991023,0.425213,0.56581,,,,,,,,17.315,0.0036,16.552,0.0008,17.281,0.0008,15.663,0.0016,-1.583999999999996,0.004098780306383839,1.064,-0.025,0.454,229.58930983478,2.10012172936,,,,,,,0.08580424203266956,-0.04863857132417662,0.0190794585290167,0.16241256797555123,0.1915907047113396,0.052246878932788746,158.58140618659715,-0.08123104103110317,-0.23766858930284415
4421620285222200704,229.58949857523,0.056,2.13330348521,0.0458,0.118,0.0557,4.117,0.084,-9.55,0.065,1.08,16.312634,0.002847,16.708935,0.005962,15.711061,0.005611,0.997874,0.396301,0.601573,,,,,,,,17.333,0.0023,16.531,0.0005,17.266,0.0006,15.647,0.0015,-1.5519999999999978,0.0028740215726399828,1.048,0.019,0.17,229.58948026595,2.13334593158,,,,,,,0.38472940485120316,-0.04846780388602615,0.05230422286492001,0.030417535513744657,0.32734878929166195,0.07130820249478675,132.81978668693125,0.2194341230918053,-0.2448083371545529
4421573143657653760,229.58983787492,0.0189,2.0944913856,0.019,0.1026,0.0219,3.895,0.026,-9.895,0.027,0.983,14.547457,0.00277,14.955122,0.003122,13.961266,0.003978,0.993856,0.407665,0.586191,,,,,,,,15.579,0.0033,14.772,0.0005,15.484,0.0006,13.88,0.0015,-1.5089999999999986,0.003722902093797257,1.138,-0.024,0.94,229.5898205524,2.09453536464,,,,,,,0.9598005083663721,-0.04812994288443904,0.013492120026986942,-0.1915765019199438,-0.03077390510480532,0.04998528488347331,164.3403841191165,0.17615906150303257,0.08134232830238249
